time,ARROBS_HEAD_K:2_I:2_J:15,ARROBS_HEAD_K:2_I:2_J:9,ARROBS_HEAD_K:2_I:3_J:8,ARROBS_HEAD_K:2_I:9_J:1,ARROBS_HEAD_K:2_I:13_J:10,ARROBS_HEAD_K:2_I:15_J:16,ARROBS_HEAD_K:2_I:21_J:10,ARROBS_HEAD_K:2_I:22_J:15,ARROBS_HEAD_K:2_I:24_J:4,ARROBS_HEAD_K:2_I:26_J:6,ARROBS_HEAD_K:2_I:29_J:15,ARROBS_HEAD_K:2_I:33_J:7,ARROBS_HEAD_K:2_I:34_J:10,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
10305.00000000,34.55202696,34.96423046,35.01946252,35.52874088,34.49385606,34.30179306,34.36291549,34.17310541,34.67720416,34.46399356,34.05734405,34.15207476,34.00762436,34.47358667,34.97221464,35.02774695,35.53919776,34.50049789,34.30663734,34.36959028,34.11865455,34.68566414,34.47159554,34.00796097,34.15794612,34.01260893
10335.00000000,34.47522719,34.83498205,34.88315948,35.33337699,34.39965407,34.23244113,34.26965892,34.10853660,34.54013139,34.34742407,34.00221028,34.07414086,33.94890557,34.40861227,34.84211064,34.89054672,35.34289174,34.40548474,34.23696271,34.27545849,34.06327752,34.54747324,34.35398018,33.96046143,34.07935811,33.95349983
10366.00000000,34.49167430,34.83243866,34.87669564,35.28268858,34.42212687,34.26034377,34.29448211,34.13741426,34.53982559,34.36062026,34.03513478,34.10297544,33.98284355,34.42371302,34.83945672,34.88386493,35.29144630,34.42817424,34.26566128,34.30044623,34.08907940,34.54672797,34.36697473,33.98986494,34.10871612,33.98837298
10397.00000000,34.59436193,34.95434380,34.99898165,35.38993633,34.55248733,34.37574781,34.42823751,34.24977371,34.67440416,34.49786682,34.14547891,34.22869928,34.09861824,34.51256531,34.96202149,35.00667859,35.39830048,34.55968839,34.38266027,34.43531449,34.18707672,34.68162959,34.50487508,34.08655659,34.23590800,34.10608174
10425.00000000,34.74366981,35.15086460,35.19951591,35.60439616,34.74052565,34.53537569,34.61978582,34.40401814,34.88866478,34.70461238,34.29261223,34.40335018,34.25307720,34.64112393,35.15967281,35.20821845,35.61280208,34.74937256,34.54416235,34.62849113,34.32111772,34.89678912,34.71283887,34.21502324,34.41248117,34.26283496
10456.00000000,34.92635831,35.40622602,35.46244478,35.91163085,34.96940393,34.72386576,34.85169958,34.58491040,35.16547826,34.96349513,34.46164241,34.61115346,34.43123486,34.79791142,35.41657174,35.47258871,35.92055922,34.98027095,34.73457741,34.86244553,34.47785971,35.17505827,34.97345315,34.36215232,34.62248018,34.44340004
10486.00000000,35.07355494,35.62432303,35.68886980,36.19692790,35.15295546,34.87040953,35.03658297,34.72445809,35.40054327,35.17673643,34.58901228,34.77330759,34.56570368,34.92382657,35.63601716,35.70032912,36.20664524,35.16542287,34.88234240,35.04897782,34.59839630,35.41157176,35.18826470,34.47261400,34.78625365,34.57945624
10517.00000000,35.15319767,35.75749801,35.82925301,36.39755654,35.25063456,34.94272917,35.13356035,34.79196730,35.54210253,35.29732595,34.64676889,34.85423106,34.62714259,34.99139761,35.77008010,35.84164359,36.40821407,35.26396472,34.95496674,35.14688035,34.65624675,35.55428439,35.30994278,34.52224382,34.86786803,34.64132978
10547.00000000,35.13923243,35.76259853,35.83817744,36.44873854,35.23128984,34.91757754,35.11191150,34.76575728,35.54536249,35.28740044,34.61646376,34.82873139,34.59603835,34.97843321,35.77530738,35.85079528,36.46013446,35.24443783,34.92909961,35.12510157,34.63281483,35.55799087,35.30023947,34.49519851,34.84190922,34.60934481
10578.00000000,35.03352113,35.63683747,35.71194169,36.33677524,35.09728898,34.79910606,34.97444656,34.65039983,35.40679278,35.14627776,34.50325982,34.69950314,34.47712111,34.88678584,35.64887450,35.72402439,36.34855825,35.10926066,34.80905647,34.98650041,34.53224108,35.41909936,35.15845960,34.39612276,34.71117304,34.48843804
10609.00000000,34.86746264,35.41662067,35.48696310,36.09323680,34.88853522,34.62274290,34.76205465,34.48034216,35.16692456,34.91586614,34.34169683,34.50617827,34.30701748,34.74373522,35.42737320,35.49789251,36.10490898,34.89865644,34.63068498,34.77226935,34.38454558,35.17817858,34.92664695,34.25520164,34.51570771,34.31580950
10639.00000000,34.69016302,35.16812952,35.23098735,35.79268698,34.66633462,34.43987247,34.53703143,34.30489148,34.89784508,34.66460155,34.17781714,34.30499062,34.13463397,34.59161201,35.17739511,35.24052197,35.80384194,34.67452181,34.44596261,34.54529229,34.23254949,34.90768577,34.67371261,34.11258621,34.31241096,34.14112657
10670.00000000,34.54077731,34.94566353,34.99989379,35.49979234,34.48055330,34.29165931,34.34999540,34.16374597,34.65853405,34.44823462,34.04914085,34.14120180,33.99894559,34.46400980,34.95353794,35.00806348,35.51008750,34.48709685,34.29643815,34.35656715,34.11057895,34.66686743,34.45572596,34.00084825,34.14699510,34.00385444
10700.00000000,34.46711184,34.82085365,34.86813012,35.30977727,34.38992945,34.22511889,34.26010699,34.10167318,34.52589286,34.33565281,33.99635041,34.06656169,33.94297346,34.40171633,34.82789737,34.87542491,35.31915808,34.39569594,34.22961170,34.26584090,34.05737848,34.53313949,34.34213229,33.95540258,34.07173889,33.94753508
10731.00000000,34.52612853,34.87434730,34.91896477,35.32410246,34.46431545,34.29746757,34.33722467,34.17316861,34.58491744,34.40549908,34.07041202,34.14386841,34.02046032,34.45358117,34.88158410,34.92631516,35.33280322,34.47070418,34.30329028,34.34351229,34.12033408,34.59193333,34.41204926,34.02084149,34.15004786,34.02658992
